name,year,value
Unsafe sex,1990,20.8
Impaired kidney function,1990,1310.7
High LDL cholesterol,1990,1435.0
Childhood maltreatment,1990,53.6
"Unsafe water, sanitation, and handwashing",1990,923.1
Air pollution,1990,396.9
Child and maternal malnutrition,1990,5688.6
Tobacco,1990,174.6
Tobacco,1992,11.0
Alcohol use,1992,53.5
Drug use,1992,12.6
Low bone mineral density,1992,188.4
Occupational risks,1992,454.4
Intimate partner violence,1992,8.9
High body-mass index,1990,2712.6
Dietary risks,1990,3547.5
Low physical activity,1990,592.1
Occupational risks,1990,332.7
Intimate partner violence,1990,25.0
Child and maternal malnutrition,1990,6.9
Tobacco,1990,1243.6
Alcohol use,1990,134.7
Drug use,1990,537.2
High fasting plasma glucose,1990,2938.4
High systolic blood pressure,1990,3393.0
Air pollution,1990,1401.6
Other environmental risks,1990,430.9
Tobacco,1991,11.7
Alcohol use,1991,59.3
Drug use,1991,12.6
Low bone mineral density,1991,196.4
Occupational risks,1991,484.1
Intimate partner violence,1991,9.0
High body-mass index,1991,2704.3
Dietary risks,1991,3521.7
Low physical activity,1991,589.2
Occupational risks,1991,329.2
Intimate partner violence,1991,24.8
Tobacco,1990,12.3
Alcohol use,1990,61.3
Drug use,1990,12.4
Low bone mineral density,1990,202.1
Occupational risks,1990,513.1
Intimate partner violence,1990,9.1
Unsafe sex,1991,20.2
Alcohol use,1991,22.0
Drug use,1991,3.6
High fasting plasma glucose,1991,45.4
Intimate partner violence,1991,1.8
Unsafe sex,1991,35.4
Air pollution,1991,1391.5
Other environmental risks,1991,429.7
Child and maternal malnutrition,1991,6.8
Tobacco,1991,1231.3
Alcohol use,1991,126.7
Drug use,1991,542.9
High fasting plasma glucose,1991,2930.3
High systolic blood pressure,1991,3376.8
Alcohol use,1990,25.4
Drug use,1990,3.2
High fasting plasma glucose,1990,47.3
Intimate partner violence,1990,1.7
Unsafe sex,1990,33.4
Alcohol use,1992,18.9
Drug use,1992,4.0
High fasting plasma glucose,1992,43.6
Intimate partner violence,1992,1.9
Unsafe sex,1992,37.4
Impaired kidney function,1991,1299.9
High LDL cholesterol,1991,1437.4
Childhood maltreatment,1991,54.1
Air pollution,1992,1374.3
Other environmental risks,1992,425.9
Unsafe sex,1992,19.7
Impaired kidney function,1992,1282.3
High LDL cholesterol,1992,1437.3
Childhood maltreatment,1992,54.6
Child and maternal malnutrition,1991,5237.8
Tobacco,1991,168.7
Child and maternal malnutrition,1992,6.6
Tobacco,1992,1215.2
Alcohol use,1992,119.1
Drug use,1992,547.8
High fasting plasma glucose,1992,2916.1
High systolic blood pressure,1992,3348.0
"Unsafe water, sanitation, and handwashing",1991,848.7
Air pollution,1991,393.7
Alcohol use,1993,16.3
Drug use,1993,4.4
High fasting plasma glucose,1993,41.9
Intimate partner violence,1993,1.9
Unsafe sex,1993,39.5
Air pollution,1993,1356.9
Other environmental risks,1993,421.2
Child and maternal malnutrition,1993,6.4
Tobacco,1993,1199.1
Alcohol use,1993,112.8
Drug use,1993,552.3
