"name","value","year","lastValue","rank"
"Air pollution",397,1990,NA,15
"Air pollution",1402,1990,397,7
"Air pollution",1392,1991,1402,7
"Air pollution",394,1991,1392,15
"Air pollution",1374,1992,394,7
"Air pollution",375,1992,1374,15
"Air pollution",1357,1993,375,7
"Air pollution",357,1993,1357,15
"Air pollution",1338,1994,357,7
"Air pollution",339,1994,1338,15
"Air pollution",1319,1995,339,7
"Air pollution",321,1995,1319,15
"Air pollution",1317,1996,321,7
"Air pollution",313,1996,1317,15
"Air pollution",1313,1997,313,7
"Air pollution",304,1997,1313,16
"Air pollution",1311,1998,304,7
"Air pollution",295,1998,1311,16
"Air pollution",1307,1999,295,7
"Air pollution",287,1999,1307,16
"Air pollution",1303,2000,287,7
"Air pollution",275,2000,1303,16
"Air pollution",1298,2001,275,7
"Air pollution",267,2001,1298,16
"Air pollution",1331,2002,267,7
"Air pollution",266,2002,1331,14
"Air pollution",1351,2003,266,7
"Air pollution",260,2003,1351,14
"Air pollution",1367,2004,260,7
"Air pollution",253,2004,1367,14
"Air pollution",1403,2005,253,7
"Air pollution",249,2005,1403,14
"Air pollution",1441,2006,249,7
"Air pollution",250,2006,1441,14
"Air pollution",1466,2007,250,7
"Air pollution",250,2007,1466,14
"Air pollution",1493,2008,250,7
"Air pollution",250,2008,1493,14
"Air pollution",1509,2009,250,7
"Air pollution",247,2009,1509,14
"Air pollution",1512,2010,247,7
"Air pollution",243,2010,1512,14
"Air pollution",1505,2011,243,6
"Air pollution",242,2011,1505,14
"Air pollution",1482,2012,242,6
"Air pollution",236,2012,1482,14
"Air pollution",1442,2013,236,6
"Air pollution",227,2013,1442,14
"Air pollution",1374,2014,227,6
"Air pollution",211,2014,1374,14
"Air pollution",1399,2015,211,6
"Air pollution",220,2015,1399,14
"Air pollution",1326,2016,220,6
"Air pollution",204,2016,1326,14
"Air pollution",1307,2017,204,6
"Air pollution",200,2017,1307,14
"Alcohol use",135,1990,NA,19
"Alcohol use",61,1990,135,20
"Alcohol use",25,1990,61,24
"Alcohol use",59,1991,25,20
"Alcohol use",22,1991,59,25
"Alcohol use",127,1991,22,19
"Alcohol use",54,1992,127,21
"Alcohol use",19,1992,54,26
"Alcohol use",119,1992,19,19
"Alcohol use",16,1993,119,26
"Alcohol use",113,1993,16,19
"Alcohol use",50,1993,113,21
"Alcohol use",47,1994,50,21
"Alcohol use",108,1994,47,19
"Alcohol use",14,1994,108,26
"Alcohol use",104,1995,14,19
"Alcohol use",13,1995,104,27
"Alcohol use",45,1995,13,21
"Alcohol use",44,1996,45,22
"Alcohol use",101,1996,44,19
"Alcohol use",11,1996,101,27
"Alcohol use",43,1997,11,22
"Alcohol use",10,1997,43,28
"Alcohol use",99,1997,10,19
"Alcohol use",41,1998,99,22
"Alcohol use",10,1998,41,28
"Alcohol use",97,1998,10,19
"Alcohol use",41,1999,97,22
"Alcohol use",95,1999,41,19
"Alcohol use",9,1999,95,28
"Alcohol use",8,2000,9,29
"Alcohol use",40,2000,8,22
"Alcohol use",93,2000,40,19
"Alcohol use",40,2001,93,22
"Alcohol use",8,2001,40,29
"Alcohol use",93,2001,8,19
"Alcohol use",8,2002,93,30
"Alcohol use",93,2002,8,19
"Alcohol use",41,2002,93,22
"Alcohol use",41,2003,41,22
"Alcohol use",8,2003,41,30
"Alcohol use",91,2003,8,19
"Alcohol use",8,2004,91,30
"Alcohol use",41,2004,8,22
"Alcohol use",89,2004,41,19
"Alcohol use",41,2005,89,22
"Alcohol use",7,2005,41,30
"Alcohol use",88,2005,7,19
"Alcohol use",7,2006,88,30
"Alcohol use",86,2006,7,19
"Alcohol use",41,2006,86,22
"Alcohol use",41,2007,41,22
"Alcohol use",7,2007,41,30
"Alcohol use",87,2007,7,19
"Alcohol use",88,2008,87,19
"Alcohol use",7,2008,88,30
"Alcohol use",40,2008,7,22
"Alcohol use",88,2009,40,19
"Alcohol use",40,2009,88,22
"Alcohol use",6,2009,40,30
"Alcohol use",6,2010,6,30
"Alcohol use",89,2010,6,19
"Alcohol use",40,2010,89,22
"Alcohol use",6,2011,40,30
"Alcohol use",89,2011,6,19
"Alcohol use",40,2011,89,22
"Alcohol use",90,2012,40,19
"Alcohol use",5,2012,90,30
"Alcohol use",40,2012,5,22
"Alcohol use",90,2013,40,18
"Alcohol use",5,2013,90,30
"Alcohol use",41,2013,5,22
"Alcohol use",5,2014,41,30
"Alcohol use",91,2014,5,18
"Alcohol use",41,2014,91,22
"Alcohol use",5,2015,41,30
"Alcohol use",92,2015,5,18
"Alcohol use",41,2015,92,22
"Alcohol use",93,2016,41,18
"Alcohol use",5,2016,93,30
"Alcohol use",41,2016,5,22
"Alcohol use",5,2017,41,30
"Alcohol use",94,2017,5,18
"Alcohol use",42,2017,94,22
"Child and maternal malnutrition",5689,1990,NA,1
"Child and maternal malnutrition",7,1990,5689,30
"Child and maternal malnutrition",7,1991,7,30
"Child and maternal malnutrition",5238,1991,7,1
"Child and maternal malnutrition",7,1992,5238,30
"Child and maternal malnutrition",4962,1992,7,1
"Child and maternal malnutrition",6,1993,4962,30
"Child and maternal malnutrition",4690,1993,6,1
"Child and maternal malnutrition",6,1994,4690,30
"Child and maternal malnutrition",4425,1994,6,1
"Child and maternal malnutrition",6,1995,4425,30
"Child and maternal malnutrition",4216,1995,6,1
"Child and maternal malnutrition",6,1996,4216,30
"Child and maternal malnutrition",3992,1996,6,1
"Child and maternal malnutrition",6,1997,3992,31
"Child and maternal malnutrition",3774,1997,6,1
"Child and maternal malnutrition",6,1998,3774,31
"Child and maternal malnutrition",3573,1998,6,1
"Child and maternal malnutrition",5,1999,3573,31
"Child and maternal malnutrition",3367,1999,5,1
"Child and maternal malnutrition",5,2000,3367,31
"Child and maternal malnutrition",3177,2000,5,3
"Child and maternal malnutrition",5,2001,3177,31
"Child and maternal malnutrition",3011,2001,5,4
"Child and maternal malnutrition",5,2002,3011,31
"Child and maternal malnutrition",2848,2002,5,5
"Child and maternal malnutrition",5,2003,2848,31
"Child and maternal malnutrition",2668,2003,5,5
"Child and maternal malnutrition",4,2004,2668,31
"Child and maternal malnutrition",2467,2004,4,5
"Child and maternal malnutrition",4,2005,2467,31
"Child and maternal malnutrition",2274,2005,4,5
"Child and maternal malnutrition",4,2006,2274,31
"Child and maternal malnutrition",2090,2006,4,5
"Child and maternal malnutrition",4,2007,2090,31
"Child and maternal malnutrition",1920,2007,4,5
"Child and maternal malnutrition",3,2008,1920,32
"Child and maternal malnutrition",1756,2008,3,6
"Child and maternal malnutrition",3,2009,1756,32
"Child and maternal malnutrition",1627,2009,3,6
"Child and maternal malnutrition",3,2010,1627,32
"Child and maternal malnutrition",1517,2010,3,6
"Child and maternal malnutrition",3,2011,1517,32
"Child and maternal malnutrition",1417,2011,3,7
"Child and maternal malnutrition",3,2012,1417,32
"Child and maternal malnutrition",1331,2012,3,8
"Child and maternal malnutrition",3,2013,1331,32
"Child and maternal malnutrition",1258,2013,3,9
"Child and maternal malnutrition",3,2014,1258,32
"Child and maternal malnutrition",1194,2014,3,9
"Child and maternal malnutrition",3,2015,1194,32
"Child and maternal malnutrition",1133,2015,3,9
"Child and maternal malnutrition",3,2016,1133,32
"Child and maternal malnutrition",1082,2016,3,9
"Child and maternal malnutrition",3,2017,1082,32
"Child and maternal malnutrition",1019,2017,3,9
"Childhood maltreatment",54,1990,NA,21
"Childhood maltreatment",54,1991,54,21
"Childhood maltreatment",55,1992,54,20
"Childhood maltreatment",55,1993,55,20
"Childhood maltreatment",56,1994,55,20
"Childhood maltreatment",57,1995,56,20
"Childhood maltreatment",57,1996,57,20
"Childhood maltreatment",58,1997,57,20
"Childhood maltreatment",59,1998,58,20
"Childhood maltreatment",60,1999,59,20
"Childhood maltreatment",61,2000,60,20
"Childhood maltreatment",62,2001,61,20
"Childhood maltreatment",62,2002,62,20
"Childhood maltreatment",63,2003,62,20
"Childhood maltreatment",64,2004,63,20
"Childhood maltreatment",65,2005,64,21
"Childhood maltreatment",66,2006,65,21
"Childhood maltreatment",66,2007,66,21
"Childhood maltreatment",67,2008,66,21
"Childhood maltreatment",67,2009,67,20
"Childhood maltreatment",68,2010,67,20
"Childhood maltreatment",68,2011,68,20
"Childhood maltreatment",69,2012,68,20
"Childhood maltreatment",69,2013,69,20
"Childhood maltreatment",70,2014,69,20
"Childhood maltreatment",70,2015,70,20
"Childhood maltreatment",71,2016,70,20
"Childhood maltreatment",71,2017,71,20
"Dietary risks",3548,1990,NA,2
"Dietary risks",3522,1991,3548,2
"Dietary risks",3479,1992,3522,2
"Dietary risks",3437,1993,3479,2
"Dietary risks",3397,1994,3437,2
"Dietary risks",3370,1995,3397,2
"Dietary risks",3340,1996,3370,2
"Dietary risks",3312,1997,3340,2
"Dietary risks",3297,1998,3312,2
"Dietary risks",3294,1999,3297,2
"Dietary risks",3313,2000,3294,1
"Dietary risks",3325,2001,3313,1
"Dietary risks",3447,2002,3325,1
"Dietary risks",3527,2003,3447,1
"Dietary risks",3597,2004,3527,1
"Dietary risks",3732,2005,3597,1
"Dietary risks",3826,2006,3732,1
"Dietary risks",3884,2007,3826,1
"Dietary risks",3948,2008,3884,1
"Dietary risks",3992,2009,3948,1
"Dietary risks",4007,2010,3992,1
"Dietary risks",3963,2011,4007,1
"Dietary risks",3880,2012,3963,1
"Dietary risks",3777,2013,3880,1
"Dietary risks",3656,2014,3777,1
"Dietary risks",3553,2015,3656,1
"Dietary risks",3449,2016,3553,1
"Dietary risks",3366,2017,3449,1
"Drug use",537,1990,NA,12
"Drug use",12,1990,537,27
"Drug use",3,1990,12,31
