year,name,value,lastValue
1990,Air.pollution,1155.675686,656.1268794
1991,Air.pollution,1124.770573,656.1268794
1992,Air.pollution,1098.442983,656.1268794
1993,Air.pollution,1093.169418,656.1268794
1994,Air.pollution,1048.729796,656.1268794
1995,Air.pollution,1044.869105,656.1268794
1996,Air.pollution,1017.508261,656.1268794
1997,Air.pollution,992.5382639,656.1268794
1998,Air.pollution,974.8447484,656.1268794
1999,Air.pollution,948.8350051,656.1268794
2000,Air.pollution,914.2787174,656.1268794
2001,Air.pollution,884.8512405,656.1268794
2002,Air.pollution,870.8549663,656.1268794
2003,Air.pollution,858.0975465,656.1268794
2004,Air.pollution,814.7972778,656.1268794
2005,Air.pollution,794.5662632,656.1268794
2006,Air.pollution,776.927054,656.1268794
2007,Air.pollution,760.6880253,656.1268794
2008,Air.pollution,756.410787,656.1268794
2009,Air.pollution,730.2926839,656.1268794
2010,Air.pollution,721.4638767,656.1268794
2011,Air.pollution,720.7156378,656.1268794
2012,Air.pollution,685.2919275,656.1268794
2013,Air.pollution,678.8643196,656.1268794
2014,Air.pollution,649.0079906,656.1268794
2015,Air.pollution,654.6393557,656.1268794
2016,Air.pollution,653.517919,656.1268794
2017,Air.pollution,656.1268794,656.1268794
1990,Alcohol.use,431.6093824,872.399216
1991,Alcohol.use,468.2077983,872.399216
1992,Alcohol.use,503.6291173,872.399216
1993,Alcohol.use,540.4401145,872.399216
1994,Alcohol.use,574.7317321,872.399216
1995,Alcohol.use,610.5753853,872.399216
1996,Alcohol.use,637.1867455,872.399216
1997,Alcohol.use,658.9368912,872.399216
1998,Alcohol.use,683.1323557,872.399216
1999,Alcohol.use,709.5951627,872.399216
2000,Alcohol.use,735.7301595,872.399216
2001,Alcohol.use,768.6710333,872.399216
2002,Alcohol.use,797.0963795,872.399216
2003,Alcohol.use,825.454989,872.399216
2004,Alcohol.use,842.1107948,872.399216
2005,Alcohol.use,866.3230127,872.399216
2006,Alcohol.use,881.3615341,872.399216
2007,Alcohol.use,879.0572956,872.399216
2008,Alcohol.use,885.5123314,872.399216
2009,Alcohol.use,872.834215,872.399216
2010,Alcohol.use,875.7979201,872.399216
2011,Alcohol.use,866.4997019,872.399216
2012,Alcohol.use,855.0038615,872.399216
2013,Alcohol.use,858.0239087,872.399216
2014,Alcohol.use,861.4433545,872.399216
2015,Alcohol.use,862.0473694,872.399216
2016,Alcohol.use,873.0971001,872.399216
2017,Alcohol.use,872.399216,872.399216
1990,Child.and.maternal.malnutrition,1105.137223,719.3856769
1991,Child.and.maternal.malnutrition,1062.0307,719.3856769
1992,Child.and.maternal.malnutrition,1003.972134,719.3856769
1993,Child.and.maternal.malnutrition,986.4341593,719.3856769
1994,Child.and.maternal.malnutrition,971.4409567,719.3856769
1995,Child.and.maternal.malnutrition,964.1862593,719.3856769
1996,Child.and.maternal.malnutrition,971.7747782,719.3856769
1997,Child.and.maternal.malnutrition,943.9231865,719.3856769
1998,Child.and.maternal.malnutrition,918.5511678,719.3856769
1999,Child.and.maternal.malnutrition,917.8626233,719.3856769
2000,Child.and.maternal.malnutrition,902.3880107,719.3856769
2001,Child.and.maternal.malnutrition,890.594173,719.3856769
2002,Child.and.maternal.malnutrition,883.3913963,719.3856769
2003,Child.and.maternal.malnutrition,899.9729757,719.3856769
2004,Child.and.maternal.malnutrition,869.5788231,719.3856769
2005,Child.and.maternal.malnutrition,850.9799267,719.3856769
2006,Child.and.maternal.malnutrition,845.1198212,719.3856769
2007,Child.and.maternal.malnutrition,828.2695116,719.3856769
2008,Child.and.maternal.malnutrition,813.1131201,719.3856769
2009,Child.and.maternal.malnutrition,806.1407798,719.3856769
2010,Child.and.maternal.malnutrition,784.7336166,719.3856769
2011,Child.and.maternal.malnutrition,768.0945242,719.3856769
2012,Child.and.maternal.malnutrition,747.3254241,719.3856769
2013,Child.and.maternal.malnutrition,732.4656647,719.3856769
2014,Child.and.maternal.malnutrition,726.8495887,719.3856769
2015,Child.and.maternal.malnutrition,726.8890134,719.3856769
2016,Child.and.maternal.malnutrition,719.6276125,719.3856769
2017,Child.and.maternal.malnutrition,719.3856769,719.3856769
1990,Childhood.maltreatment,179.9597212,188.1925198
1991,Childhood.maltreatment,181.0832371,188.1925198
1992,Childhood.maltreatment,182.0462876,188.1925198
1993,Childhood.maltreatment,182.9162604,188.1925198
1994,Childhood.maltreatment,183.5714539,188.1925198
1995,Childhood.maltreatment,184.009637,188.1925198
1996,Childhood.maltreatment,184.3701485,188.1925198
1997,Childhood.maltreatment,184.9883621,188.1925198
1998,Childhood.maltreatment,185.834983,188.1925198
1999,Childhood.maltreatment,186.7768572,188.1925198
2000,Childhood.maltreatment,187.7700952,188.1925198
2001,Childhood.maltreatment,188.3961357,188.1925198
2002,Childhood.maltreatment,186.894226,188.1925198
2003,Childhood.maltreatment,184.6036631,188.1925198
2004,Childhood.maltreatment,182.4066159,188.1925198
