"name","value","year","lastValue","rank"
"Cardiovascular diseases",5689,1990,NA,1
"Cardiovascular diseases",5643,1991,5689,1
"Cardiovascular diseases",5565,1992,5643,1
"Cardiovascular diseases",5485,1993,5565,1
"Cardiovascular diseases",5404,1994,5485,1
"Cardiovascular diseases",5334,1995,5404,1
"Cardiovascular diseases",5261,1996,5334,1
"Cardiovascular diseases",5186,1997,5261,1
"Cardiovascular diseases",5132,1998,5186,1
"Cardiovascular diseases",5104,1999,5132,1
"Cardiovascular diseases",5105,2000,5104,1
"Cardiovascular diseases",5105,2001,5105,1
"Cardiovascular diseases",5262,2002,5105,1
"Cardiovascular diseases",5353,2003,5262,1
"Cardiovascular diseases",5434,2004,5353,1
"Cardiovascular diseases",5608,2005,5434,1
"Cardiovascular diseases",5729,2006,5608,1
"Cardiovascular diseases",5799,2007,5729,1
"Cardiovascular diseases",5887,2008,5799,1
"Cardiovascular diseases",5941,2009,5887,1
"Cardiovascular diseases",5955,2010,5941,1
"Cardiovascular diseases",5893,2011,5955,1
"Cardiovascular diseases",5765,2012,5893,1
"Cardiovascular diseases",5605,2013,5765,1
"Cardiovascular diseases",5418,2014,5605,1
"Cardiovascular diseases",5245,2015,5418,1
"Cardiovascular diseases",5095,2016,5245,1
"Cardiovascular diseases",4968,2017,5095,1
"Chronic respiratory diseases",998,1990,NA,15
"Chronic respiratory diseases",987,1991,998,14
"Chronic respiratory diseases",971,1992,987,14
"Chronic respiratory diseases",956,1993,971,14
"Chronic respiratory diseases",940,1994,956,14
"Chronic respiratory diseases",926,1995,940,14
"Chronic respiratory diseases",914,1996,926,14
"Chronic respiratory diseases",903,1997,914,14
"Chronic respiratory diseases",893,1998,903,14
"Chronic respiratory diseases",887,1999,893,14
"Chronic respiratory diseases",884,2000,887,14
"Chronic respiratory diseases",870,2001,884,14
"Chronic respiratory diseases",875,2002,870,14
"Chronic respiratory diseases",882,2003,875,14
"Chronic respiratory diseases",883,2004,882,13
"Chronic respiratory diseases",889,2005,883,13
"Chronic respiratory diseases",892,2006,889,13
"Chronic respiratory diseases",897,2007,892,13
"Chronic respiratory diseases",901,2008,897,13
"Chronic respiratory diseases",902,2009,901,13
"Chronic respiratory diseases",900,2010,902,12
"Chronic respiratory diseases",890,2011,900,11
"Chronic respiratory diseases",874,2012,890,11
"Chronic respiratory diseases",857,2013,874,11
"Chronic respiratory diseases",839,2014,857,11
"Chronic respiratory diseases",820,2015,839,11
"Chronic respiratory diseases",805,2016,820,11
"Chronic respiratory diseases",793,2017,805,11
"Diabetes and kidney diseases",1617,1990,NA,10
"Diabetes and kidney diseases",1606,1991,1617,10
"Diabetes and kidney diseases",1590,1992,1606,10
"Diabetes and kidney diseases",1578,1993,1590,10
"Diabetes and kidney diseases",1574,1994,1578,10
"Diabetes and kidney diseases",1580,1995,1574,10
"Diabetes and kidney diseases",1586,1996,1580,10
"Diabetes and kidney diseases",1595,1997,1586,10
"Diabetes and kidney diseases",1605,1998,1595,10
"Diabetes and kidney diseases",1615,1999,1605,9
"Diabetes and kidney diseases",1631,2000,1615,9
"Diabetes and kidney diseases",1628,2001,1631,9
"Diabetes and kidney diseases",1670,2002,1628,9
"Diabetes and kidney diseases",1695,2003,1670,8
"Diabetes and kidney diseases",1695,2004,1695,8
"Diabetes and kidney diseases",1709,2005,1695,8
"Diabetes and kidney diseases",1727,2006,1709,8
"Diabetes and kidney diseases",1741,2007,1727,8
"Diabetes and kidney diseases",1756,2008,1741,8
"Diabetes and kidney diseases",1765,2009,1756,8
"Diabetes and kidney diseases",1767,2010,1765,6
"Diabetes and kidney diseases",1759,2011,1767,6
"Diabetes and kidney diseases",1739,2012,1759,6
"Diabetes and kidney diseases",1713,2013,1739,6
"Diabetes and kidney diseases",1687,2014,1713,7
"Diabetes and kidney diseases",1659,2015,1687,8
"Diabetes and kidney diseases",1633,2016,1659,7
"Diabetes and kidney diseases",1593,2017,1633,7
"Digestive diseases",1193,1990,NA,12
"Digestive diseases",1168,1991,1193,12
"Digestive diseases",1138,1992,1168,12
"Digestive diseases",1110,1993,1138,12
"Digestive diseases",1083,1994,1110,12
"Digestive diseases",1060,1995,1083,12
"Digestive diseases",1038,1996,1060,12
"Digestive diseases",1017,1997,1038,12
"Digestive diseases",998,1998,1017,12
"Digestive diseases",984,1999,998,12
"Digestive diseases",970,2000,984,12
"Digestive diseases",967,2001,970,12
"Digestive diseases",970,2002,967,12
"Digestive diseases",962,2003,970,12
"Digestive diseases",941,2004,962,12
"Digestive diseases",928,2005,941,12
"Digestive diseases",913,2006,928,12
"Digestive diseases",908,2007,913,12
"Digestive diseases",906,2008,908,12
"Digestive diseases",904,2009,906,12
"Digestive diseases",900,2010,904,13
"Digestive diseases",886,2011,900,12
"Digestive diseases",869,2012,886,12
"Digestive diseases",852,2013,869,12
"Digestive diseases",836,2014,852,12
"Digestive diseases",816,2015,836,12
"Digestive diseases",801,2016,816,12
"Digestive diseases",790,2017,801,12
"Enteric infections",1052,1990,NA,13
"Enteric infections",980,1991,1052,15
"Enteric infections",865,1992,980,15
"Enteric infections",767,1993,865,15
"Enteric infections",682,1994,767,15
"Enteric infections",615,1995,682,15
"Enteric infections",551,1996,615,16
"Enteric infections",497,1997,551,17
"Enteric infections",453,1998,497,17
"Enteric infections",422,1999,453,17
"Enteric infections",392,2000,422,17
"Enteric infections",368,2001,392,17
"Enteric infections",347,2002,368,17
"Enteric infections",327,2003,347,17
"Enteric infections",307,2004,327,17
"Enteric infections",290,2005,307,17
"Enteric infections",274,2006,290,17
"Enteric infections",262,2007,274,17
"Enteric infections",252,2008,262,17
"Enteric infections",244,2009,252,17
"Enteric infections",237,2010,244,17
"Enteric infections",231,2011,237,17
"Enteric infections",227,2012,231,17
"Enteric infections",223,2013,227,17
"Enteric infections",221,2014,223,17
"Enteric infections",219,2015,221,18
"Enteric infections",218,2016,219,18
"Enteric infections",218,2017,218,18
"HIV/AIDS and sexually transmitted infections",69,1990,NA,22
"HIV/AIDS and sexually transmitted infections",72,1991,69,22
"HIV/AIDS and sexually transmitted infections",75,1992,72,22
"HIV/AIDS and sexually transmitted infections",77,1993,75,21
"HIV/AIDS and sexually transmitted infections",80,1994,77,21
"HIV/AIDS and sexually transmitted infections",83,1995,80,21
"HIV/AIDS and sexually transmitted infections",86,1996,83,21
"HIV/AIDS and sexually transmitted infections",89,1997,86,21
"HIV/AIDS and sexually transmitted infections",92,1998,89,21
"HIV/AIDS and sexually transmitted infections",99,1999,92,21
"HIV/AIDS and sexually transmitted infections",109,2000,99,21
"HIV/AIDS and sexually transmitted infections",117,2001,109,21
"HIV/AIDS and sexually transmitted infections",124,2002,117,21
"HIV/AIDS and sexually transmitted infections",129,2003,124,21
"HIV/AIDS and sexually transmitted infections",131,2004,129,21
"HIV/AIDS and sexually transmitted infections",133,2005,131,21
"HIV/AIDS and sexually transmitted infections",132,2006,133,21
"HIV/AIDS and sexually transmitted infections",130,2007,132,21
"HIV/AIDS and sexually transmitted infections",128,2008,130,21
"HIV/AIDS and sexually transmitted infections",125,2009,128,21
"HIV/AIDS and sexually transmitted infections",123,2010,125,21
"HIV/AIDS and sexually transmitted infections",120,2011,123,21
"HIV/AIDS and sexually transmitted infections",118,2012,120,21
"HIV/AIDS and sexually transmitted infections",115,2013,118,21
"HIV/AIDS and sexually transmitted infections",113,2014,115,21
"HIV/AIDS and sexually transmitted infections",110,2015,113,21
"HIV/AIDS and sexually transmitted infections",108,2016,110,20
"HIV/AIDS and sexually transmitted infections",107,2017,108,20
"Maternal and neonatal disorders",4506,1990,NA,2
"Maternal and neonatal disorders",4448,1991,4506,2
"Maternal and neonatal disorders",4316,1992,4448,2
"Maternal and neonatal disorders",4180,1993,4316,2
"Maternal and neonatal disorders",4032,1994,4180,2
"Maternal and neonatal disorders",3923,1995,4032,2
"Maternal and neonatal disorders",3783,1996,3923,2
"Maternal and neonatal disorders",3640,1997,3783,2
"Maternal and neonatal disorders",3506,1998,3640,2
"Maternal and neonatal disorders",3359,1999,3506,2
"Maternal and neonatal disorders",3206,2000,3359,2
"Maternal and neonatal disorders",3065,2001,3206,2
"Maternal and neonatal disorders",2924,2002,3065,2
"Maternal and neonatal disorders",2754,2003,2924,2
"Maternal and neonatal disorders",2557,2004,2754,2
"Maternal and neonatal disorders",2372,2005,2557,2
"Maternal and neonatal disorders",2191,2006,2372,2
"Maternal and neonatal disorders",2033,2007,2191,3
"Maternal and neonatal disorders",1887,2008,2033,5
"Maternal and neonatal disorders",1768,2009,1887,7
"Maternal and neonatal disorders",1664,2010,1768,9
"Maternal and neonatal disorders",1566,2011,1664,9
"Maternal and neonatal disorders",1481,2012,1566,10
"Maternal and neonatal disorders",1407,2013,1481,10
"Maternal and neonatal disorders",1341,2014,1407,10
"Maternal and neonatal disorders",1278,2015,1341,10
"Maternal and neonatal disorders",1222,2016,1278,10
"Maternal and neonatal disorders",1152,2017,1222,10
"Mental disorders",1689,1990,NA,8
"Mental disorders",1686,1991,1689,8
"Mental disorders",1683,1992,1686,8
"Mental disorders",1681,1993,1683,8
"Mental disorders",1680,1994,1681,8
"Mental disorders",1681,1995,1680,8
"Mental disorders",1681,1996,1681,8
"Mental disorders",1681,1997,1681,8
"Mental disorders",1681,1998,1681,8
"Mental disorders",1683,1999,1681,8
"Mental disorders",1684,2000,1683,8
"Mental disorders",1685,2001,1684,8
"Mental disorders",1686,2002,1685,8
"Mental disorders",1688,2003,1686,9
"Mental disorders",1689,2004,1688,9
"Mental disorders",1689,2005,1689,9
"Mental disorders",1689,2006,1689,10
"Mental disorders",1688,2007,1689,9
"Mental disorders",1687,2008,1688,9
"Mental disorders",1686,2009,1687,9
"Mental disorders",1686,2010,1686,8
"Mental disorders",1687,2011,1686,7
"Mental disorders",1688,2012,1687,7
"Mental disorders",1690,2013,1688,7
"Mental disorders",1693,2014,1690,6
"Mental disorders",1696,2015,1693,7
"Mental disorders",1699,2016,1696,6
"Mental disorders",1702,2017,1699,6
"Musculoskeletal disorders",1917,1990,NA,6
"Musculoskeletal disorders",1923,1991,1917,6
"Musculoskeletal disorders",1928,1992,1923,6
"Musculoskeletal disorders",1934,1993,1928,6
