"name","value","year","lastValue","rank"
"Cardiovascular diseases",296,1990,NA,1
"Cardiovascular diseases",294,1991,296,1
"Cardiovascular diseases",291,1992,294,1
"Cardiovascular diseases",287,1993,291,1
"Cardiovascular diseases",283,1994,287,1
"Cardiovascular diseases",279,1995,283,1
"Cardiovascular diseases",276,1996,279,1
"Cardiovascular diseases",272,1997,276,1
"Cardiovascular diseases",269,1998,272,1
"Cardiovascular diseases",268,1999,269,1
"Cardiovascular diseases",268,2000,268,1
"Cardiovascular diseases",268,2001,268,1
"Cardiovascular diseases",277,2002,268,1
"Cardiovascular diseases",281,2003,277,1
"Cardiovascular diseases",284,2004,281,1
"Cardiovascular diseases",291,2005,284,1
"Cardiovascular diseases",297,2006,291,1
"Cardiovascular diseases",301,2007,297,1
"Cardiovascular diseases",306,2008,301,1
"Cardiovascular diseases",309,2009,306,1
"Cardiovascular diseases",311,2010,309,1
"Cardiovascular diseases",309,2011,311,1
"Cardiovascular diseases",304,2012,309,1
"Cardiovascular diseases",295,2013,304,1
"Cardiovascular diseases",284,2014,295,1
"Cardiovascular diseases",275,2015,284,1
"Cardiovascular diseases",267,2016,275,1
"Cardiovascular diseases",260,2017,267,1
"Chronic respiratory diseases",37,1990,NA,11
"Chronic respiratory diseases",36,1991,37,11
"Chronic respiratory diseases",35,1992,36,11
"Chronic respiratory diseases",34,1993,35,11
"Chronic respiratory diseases",33,1994,34,11
"Chronic respiratory diseases",33,1995,33,11
"Chronic respiratory diseases",32,1996,33,11
"Chronic respiratory diseases",31,1997,32,11
"Chronic respiratory diseases",31,1998,31,10
"Chronic respiratory diseases",31,1999,31,10
"Chronic respiratory diseases",30,2000,31,9
"Chronic respiratory diseases",29,2001,30,10
"Chronic respiratory diseases",30,2002,29,10
"Chronic respiratory diseases",30,2003,30,9
"Chronic respiratory diseases",30,2004,30,9
"Chronic respiratory diseases",30,2005,30,8
"Chronic respiratory diseases",30,2006,30,8
"Chronic respiratory diseases",30,2007,30,8
"Chronic respiratory diseases",30,2008,30,7
"Chronic respiratory diseases",30,2009,30,7
"Chronic respiratory diseases",30,2010,30,7
"Chronic respiratory diseases",30,2011,30,7
"Chronic respiratory diseases",29,2012,30,7
"Chronic respiratory diseases",28,2013,29,7
"Chronic respiratory diseases",27,2014,28,7
"Chronic respiratory diseases",26,2015,27,8
"Chronic respiratory diseases",25,2016,26,8
"Chronic respiratory diseases",25,2017,25,8
"Diabetes and kidney diseases",48,1990,NA,8
"Diabetes and kidney diseases",48,1991,48,7
"Diabetes and kidney diseases",48,1992,48,6
"Diabetes and kidney diseases",47,1993,48,6
"Diabetes and kidney diseases",47,1994,47,5
"Diabetes and kidney diseases",47,1995,47,5
"Diabetes and kidney diseases",48,1996,47,5
"Diabetes and kidney diseases",48,1997,48,5
"Diabetes and kidney diseases",48,1998,48,5
"Diabetes and kidney diseases",48,1999,48,4
"Diabetes and kidney diseases",48,2000,48,4
"Diabetes and kidney diseases",48,2001,48,4
"Diabetes and kidney diseases",49,2002,48,4
"Diabetes and kidney diseases",49,2003,49,4
"Diabetes and kidney diseases",49,2004,49,4
"Diabetes and kidney diseases",49,2005,49,4
"Diabetes and kidney diseases",50,2006,49,4
"Diabetes and kidney diseases",50,2007,50,4
"Diabetes and kidney diseases",51,2008,50,4
"Diabetes and kidney diseases",51,2009,51,4
"Diabetes and kidney diseases",52,2010,51,4
"Diabetes and kidney diseases",52,2011,52,4
"Diabetes and kidney diseases",51,2012,52,4
"Diabetes and kidney diseases",50,2013,51,4
"Diabetes and kidney diseases",49,2014,50,4
"Diabetes and kidney diseases",48,2015,49,4
"Diabetes and kidney diseases",47,2016,48,4
"Diabetes and kidney diseases",46,2017,47,4
"Digestive diseases",39,1990,NA,10
"Digestive diseases",38,1991,39,10
"Digestive diseases",37,1992,38,10
"Digestive diseases",36,1993,37,10
"Digestive diseases",35,1994,36,10
"Digestive diseases",34,1995,35,10
"Digestive diseases",33,1996,34,10
"Digestive diseases",32,1997,33,10
"Digestive diseases",31,1998,32,11
"Digestive diseases",30,1999,31,11
"Digestive diseases",30,2000,30,11
"Digestive diseases",30,2001,30,9
"Digestive diseases",30,2002,30,9
"Digestive diseases",30,2003,30,8
"Digestive diseases",30,2004,30,8
"Digestive diseases",30,2005,30,9
"Digestive diseases",29,2006,30,9
"Digestive diseases",29,2007,29,9
