measure,location,sex,age,cause,name,metric,year,value,lastvalue
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,1990,1092.966768,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,1990,3152.882766,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,1990,221.7895802,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,1990,220.7597631,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,1043.216325,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,1990,2474.242663,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,1990,1391.480574,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,1990,104.2486699,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,1990,1228.639452,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,1990,89.97986062,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,1990,8.645679908,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,1990,606.5430385,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,1990,88.32607959,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,1992,371.4372229,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,1991,196.0598072,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,1990,400.0646617,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,1991,385.2916147,200.9090824
