name,year,value,lastvalue
Child and maternal malnutrition,1990,1093,716
Tobacco,1990,3153,1420
Alcohol use,1990,222,441
Drug use,1990,221,335
High fasting plasma glucose,1990,1043,899
High systolic blood pressure,1990,2474,754
High body-mass index,1990,1391,1153
Low bone mineral density,1990,104,117
High LDL cholesterol,1990,1229,347
Childhood maltreatment,1990,90,94
"Unsafe water, sanitation, and handwashing",1990,9,6
Air pollution,1990,607,343
Other environmental risks,1990,88,43
Impaired kidney function,1992,371,201
Unsafe sex,1991,196,116
Impaired kidney function,1990,400,201
Impaired kidney function,1991,385,201
High LDL cholesterol,1991,1178,347
Childhood maltreatment,1991,91,94
High LDL cholesterol,1992,1126,347
Childhood maltreatment,1992,91,94
Unsafe sex,1992,189,116
Unsafe sex,1990,204,116
Dietary risks,1991,2090,929
Low physical activity,1991,329,130
Occupational risks,1991,383,458
Intimate partner violence,1991,90,79
Intimate partner violence,1990,90,79
Impaired kidney function,1993,367,201
High LDL cholesterol,1993,1098,347
Childhood maltreatment,1993,91,94
Intimate partner violence,1992,90,79
Unsafe sex,1994,178,116
Dietary risks,1993,1988,929
High LDL cholesterol,1994,1016,347
Childhood maltreatment,1994,92,94
Impaired kidney function,1994,348,201
Low physical activity,1993,313,130
Occupational risks,1993,382,458
Intimate partner violence,1993,91,79
Dietary risks,1992,2021,929
Low physical activity,1992,319,130
Occupational risks,1992,381,458
Dietary risks,1990,2169,929
Low physical activity,1990,341,130
Occupational risks,1990,386,458
Unsafe sex,1993,187,116
Intimate partner violence,1994,91,79
Dietary risks,1994,1877,929
Low physical activity,1994,295,130
Occupational risks,1994,378,458
"Unsafe water, sanitation, and handwashing",1991,8,6
Air pollution,1991,590,343
Other environmental risks,1991,86,43
Child and maternal malnutrition,1991,1051,716
Tobacco,1991,3035,1420
Alcohol use,1991,240,441
Drug use,1991,224,335
"Unsafe water, sanitation, and handwashing",1992,8,6
Air pollution,1992,577,343
Other environmental risks,1992,85,43
High fasting plasma glucose,1991,1025,899
High systolic blood pressure,1991,2392,754
High body-mass index,1991,1376,1153
Low bone mineral density,1991,104,117
Impaired kidney function,1995,343,201
High LDL cholesterol,1995,985,347
Childhood maltreatment,1995,92,94
Child and maternal malnutrition,1992,994,716
Tobacco,1992,2933,1420
Alcohol use,1992,258,441
Drug use,1992,228,335
High fasting plasma glucose,1992,1008,899
High systolic blood pressure,1992,2312,754
High body-mass index,1992,1365,1153
Low bone mineral density,1992,103,117
Unsafe sex,1996,167,116
High LDL cholesterol,1996,925,347
Childhood maltreatment,1996,92,94
Unsafe sex,1995,177,116
Impaired kidney function,1996,331,201
High fasting plasma glucose,1993,1003,899
High systolic blood pressure,1993,2276,754
High body-mass index,1993,1369,1153
Low bone mineral density,1993,103,117
Dietary risks,1995,1851,929
Low physical activity,1995,290,130
Occupational risks,1995,380,458
Intimate partner violence,1995,90,79
Impaired kidney function,1997,318,201
High LDL cholesterol,1997,870,347
Childhood maltreatment,1997,92,94
"Unsafe water, sanitation, and handwashing",1993,8,6
Air pollution,1993,577,343
Other environmental risks,1993,84,43
Child and maternal malnutrition,1993,977,716
Tobacco,1993,2877,1420
Alcohol use,1993,277,441
Drug use,1993,233,335
"Unsafe water, sanitation, and handwashing",1994,8,6
Air pollution,1994,554,343
Other environmental risks,1994,81,43
Unsafe sex,1997,160,116
Child and maternal malnutrition,1994,963,716
Tobacco,1994,2744,1420
Alcohol use,1994,294,441
Drug use,1994,237,335
High fasting plasma glucose,1994,967,899
High systolic blood pressure,1994,2146,754
High body-mass index,1994,1334,1153
Low bone mineral density,1994,102,117
Impaired kidney function,1998,308,201
High LDL cholesterol,1998,829,347
Childhood maltreatment,1998,93,94
Unsafe sex,1998,150,116
Dietary risks,1996,1775,929
Low physical activity,1996,277,130
Occupational risks,1996,383,458
Intimate partner violence,1996,88,79
"Unsafe water, sanitation, and handwashing",1995,8,6
Air pollution,1995,554,343
Other environmental risks,1995,80,43
Child and maternal malnutrition,1995,956,716
Tobacco,1995,2698,1420
Alcohol use,1995,313,441
Drug use,1995,243,335
High fasting plasma glucose,1995,965,899
High systolic blood pressure,1995,2106,754
High body-mass index,1995,1342,1153
Low bone mineral density,1995,102,117
Dietary risks,1997,1705,929
Low physical activity,1997,265,130
Occupational risks,1997,387,458
Intimate partner violence,1997,86,79
Impaired kidney function,1999,295,201
High LDL cholesterol,1999,778,347
Childhood maltreatment,1999,93,94
Unsafe sex,1999,144,116
"Unsafe water, sanitation, and handwashing",1996,8,6
Air pollution,1996,541,343
Other environmental risks,1996,78,43
Child and maternal malnutrition,1996,964,716
Tobacco,1996,2599,1420
Alcohol use,1996,326,441
Drug use,1996,249,335
High fasting plasma glucose,1996,949,899
High systolic blood pressure,1996,2006,754
High body-mass index,1996,1324,1153
Low bone mineral density,1996,102,117
Dietary risks,1998,1656,929
Low physical activity,1998,256,130
Occupational risks,1998,393,458
Intimate partner violence,1998,84,79
Low physical activity,1999,244,130
Occupational risks,1999,400,458
Intimate partner violence,1999,83,79
High fasting plasma glucose,1997,944,899
High systolic blood pressure,1997,1904,754
High body-mass index,1997,1314,1153
Low bone mineral density,1997,103,117
"Unsafe water, sanitation, and handwashing",1997,7,6
Air pollution,1997,528,343
Other environmental risks,1997,76,43
Child and maternal malnutrition,1997,937,716
