sex,cause,name,year,value,lastValue,rank
Both,All causes,Tobacco,1990,4387.05316,1773.63312,1
Both,All causes,High systolic blood pressure,1990,3469.21384,1079.722422,2
Both,All causes,Dietary risks,1990,3285.249791,1338.474071,3
Both,All causes,High LDL cholesterol,1990,1986.780795,580.3970841,4
Both,All causes,High body-mass index,1990,1759.311079,1351.826614,5
Both,All causes,High fasting plasma glucose,1990,1334.659098,1099.055726,6
Both,All causes,Child and maternal malnutrition,1990,1067.136398,701.1367344,7
Both,All causes,Air pollution,1990,884.701936,421.8820538,8
Both,All causes,Occupational risks,1990,836.8075862,657.9045263,9
Both,All causes,Alcohol use,1990,687.9661493,890.2334383,10
Both,All causes,Impaired kidney function,1990,470.5697395,219.9578065,11
Both,All causes,Low physical activity,1990,464.642729,171.9935665,12
Both,All causes,Drug use,1990,380.3261612,571.9336293,13
Both,All causes,Other environmental risks,1990,157.3939424,58.6562618,14
Both,All causes,Unsafe sex,1990,142.4604093,76.14671419,15
Both,All causes,Low bone mineral density,1990,92.13178298,100.9625777,16
Both,All causes,Childhood maltreatment,1990,78.89470714,81.52228465,17
Both,All causes,Intimate partner violence,1990,45.47061473,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",1990,9.003286815,6.437282067,19
Both,All causes,Tobacco,1991,4221.598017,1773.63312,1
Both,All causes,High systolic blood pressure,1991,3357.367987,1079.722422,2
Both,All causes,Dietary risks,1991,3169.040901,1338.474071,3
Both,All causes,High LDL cholesterol,1991,1906.097892,580.3970841,4
Both,All causes,High body-mass index,1991,1739.03376,1351.826614,5
Both,All causes,High fasting plasma glucose,1991,1310.929098,1099.055726,6
Both,All causes,Child and maternal malnutrition,1991,1028.960481,701.1367344,7
Both,All causes,Air pollution,1991,856.8129916,421.8820538,8
Both,All causes,Occupational risks,1991,821.1167943,657.9045263,9
Both,All causes,Alcohol use,1991,710.0930305,890.2334383,10
Both,All causes,Impaired kidney function,1991,454.0391318,219.9578065,11
Both,All causes,Low physical activity,1991,448.9454973,171.9935665,12
Both,All causes,Drug use,1991,392.6402508,571.9336293,13
Both,All causes,Other environmental risks,1991,153.2558356,58.6562618,14
Both,All causes,Unsafe sex,1991,144.6578996,76.14671419,15
Both,All causes,Low bone mineral density,1991,91.41650658,100.9625777,16
Both,All causes,Childhood maltreatment,1991,79.71729909,81.52228465,17
Both,All causes,Intimate partner violence,1991,45.62558367,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",1991,8.725851905,6.437282067,19
Both,All causes,Tobacco,1992,4047.290303,1773.63312,1
Both,All causes,High systolic blood pressure,1992,3224.175088,1079.722422,2
Both,All causes,Dietary risks,1992,3042.052948,1338.474071,3
Both,All causes,High LDL cholesterol,1992,1810.098475,580.3970841,4
Both,All causes,High body-mass index,1992,1712.508648,1351.826614,5
Both,All causes,High fasting plasma glucose,1992,1283.822801,1099.055726,6
Both,All causes,Child and maternal malnutrition,1992,973.1326204,701.1367344,7
Both,All causes,Air pollution,1992,826.8138228,421.8820538,8
Both,All causes,Occupational risks,1992,802.6725498,657.9045263,9
Both,All causes,Alcohol use,1992,723.7088945,890.2334383,10
Both,All causes,Impaired kidney function,1992,435.7440862,219.9578065,11
Both,All causes,Low physical activity,1992,431.9660045,171.9935665,12
Both,All causes,Drug use,1992,403.6922923,571.9336293,13
Both,All causes,Other environmental risks,1992,148.2596121,58.6562618,14
Both,All causes,Unsafe sex,1992,143.4358596,76.14671419,15
Both,All causes,Low bone mineral density,1992,90.70489467,100.9625777,16
Both,All causes,Childhood maltreatment,1992,80.40319699,81.52228465,17
Both,All causes,Intimate partner violence,1992,45.66818203,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",1992,8.374132914,6.437282067,19
Both,All causes,Tobacco,1993,3962.551123,1773.63312,1
Both,All causes,High systolic blood pressure,1993,3172.038631,1079.722422,2
Both,All causes,Dietary risks,1993,2989.220034,1338.474071,3
Both,All causes,High LDL cholesterol,1993,1763.834888,580.3970841,4
Both,All causes,High body-mass index,1993,1716.996504,1351.826614,5
Both,All causes,High fasting plasma glucose,1993,1280.776684,1099.055726,6
Both,All causes,Child and maternal malnutrition,1993,961.1650437,701.1367344,7
Both,All causes,Air pollution,1993,821.1046137,421.8820538,8
Both,All causes,Occupational risks,1993,796.1692118,657.9045263,9
Both,All causes,Alcohol use,1993,750.4983824,890.2334383,10
Both,All causes,Impaired kidney function,1993,431.4654969,219.9578065,11
Both,All causes,Low physical activity,1993,425.0656694,171.9935665,12
Both,All causes,Drug use,1993,418.9574896,571.9336293,13
Both,All causes,Other environmental risks,1993,146.5020404,58.6562618,14
Both,All causes,Unsafe sex,1993,146.0215063,76.14671419,15
Both,All causes,Low bone mineral density,1993,90.62910185,100.9625777,16
Both,All causes,Childhood maltreatment,1993,81.04309106,81.52228465,17
Both,All causes,Intimate partner violence,1993,46.17735694,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",1993,8.409232679,6.437282067,19
Both,All causes,Tobacco,1994,3750.993192,1773.63312,1
Both,All causes,High systolic blood pressure,1994,2985.729698,1079.722422,2
Both,All causes,Dietary risks,1994,2814.363196,1338.474071,3
Both,All causes,High body-mass index,1994,1667.527065,1351.826614,4
Both,All causes,High LDL cholesterol,1994,1631.817178,580.3970841,5
Both,All causes,High fasting plasma glucose,1994,1237.104487,1099.055726,6
Both,All causes,Child and maternal malnutrition,1994,950.8757047,701.1367344,7
Both,All causes,Air pollution,1994,782.0685305,421.8820538,8
Both,All causes,Occupational risks,1994,772.3885678,657.9045263,9
Both,All causes,Alcohol use,1994,767.5650215,890.2334383,10
Both,All causes,Drug use,1994,433.1273805,571.9336293,11
Both,All causes,Impaired kidney function,1994,409.6988784,219.9578065,12
Both,All causes,Low physical activity,1994,399.8132186,171.9935665,13
Both,All causes,Unsafe sex,1994,147.0783358,76.14671419,14
Both,All causes,Other environmental risks,1994,139.3997102,58.6562618,15
Both,All causes,Low bone mineral density,1994,89.84586302,100.9625777,16
Both,All causes,Childhood maltreatment,1994,81.48968871,81.52228465,17
Both,All causes,Intimate partner violence,1994,45.9269815,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",1994,8.213085684,6.437282067,19
Both,All causes,Tobacco,1995,3665.901824,1773.63312,1
Both,All causes,High systolic blood pressure,1995,2921.23911,1079.722422,2
Both,All causes,Dietary risks,1995,2764.064777,1338.474071,3
Both,All causes,High body-mass index,1995,1673.625031,1351.826614,4
Both,All causes,High LDL cholesterol,1995,1579.774746,580.3970841,5
Both,All causes,High fasting plasma glucose,1995,1234.023673,1099.055726,6
Both,All causes,Child and maternal malnutrition,1995,948.2528648,701.1367344,7
Both,All causes,Alcohol use,1995,798.4758099,890.2334383,8
Both,All causes,Air pollution,1995,774.7165321,421.8820538,9
Both,All causes,Occupational risks,1995,765.2220433,657.9045263,10
Both,All causes,Drug use,1995,452.6948364,571.9336293,11
Both,All causes,Impaired kidney function,1995,403.4522368,219.9578065,12
Both,All causes,Low physical activity,1995,392.016513,171.9935665,13
Both,All causes,Unsafe sex,1995,145.2807277,76.14671419,14
Both,All causes,Other environmental risks,1995,136.9226331,58.6562618,15
Both,All causes,Low bone mineral density,1995,90.03830766,100.9625777,16
Both,All causes,Childhood maltreatment,1995,81.79033071,81.52228465,17
Both,All causes,Intimate partner violence,1995,45.40526605,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",1995,8.216592672,6.437282067,19
Both,All causes,Tobacco,1996,3511.30632,1773.63312,1
Both,All causes,High systolic blood pressure,1996,2781.686731,1079.722422,2
Both,All causes,Dietary risks,1996,2647.995628,1338.474071,3
Both,All causes,High body-mass index,1996,1650.858429,1351.826614,4
Both,All causes,High LDL cholesterol,1996,1488.304591,580.3970841,5
Both,All causes,High fasting plasma glucose,1996,1220.84675,1099.055726,6
Both,All causes,Child and maternal malnutrition,1996,959.9761437,701.1367344,7
Both,All causes,Alcohol use,1996,819.6097894,890.2334383,8
Both,All causes,Occupational risks,1996,752.1870079,657.9045263,9
Both,All causes,Air pollution,1996,750.9114062,421.8820538,10
Both,All causes,Drug use,1996,466.332849,571.9336293,11
Both,All causes,Impaired kidney function,1996,388.3001987,219.9578065,12
Both,All causes,Low physical activity,1996,374.512571,171.9935665,13
Both,All causes,Other environmental risks,1996,131.7988599,58.6562618,14
Both,All causes,Unsafe sex,1996,123.2612408,76.14671419,15
Both,All causes,Low bone mineral density,1996,90.04983222,100.9625777,16
Both,All causes,Childhood maltreatment,1996,81.92391651,81.52228465,17
Both,All causes,Intimate partner violence,1996,44.43396417,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",1996,8.16876948,6.437282067,19
Both,All causes,Tobacco,1997,3348.473437,1773.63312,1
Both,All causes,High systolic blood pressure,1997,2630.540345,1079.722422,2
Both,All causes,Dietary risks,1997,2527.783606,1338.474071,3
Both,All causes,High body-mass index,1997,1628.238771,1351.826614,4
Both,All causes,High LDL cholesterol,1997,1394.916458,580.3970841,5
Both,All causes,High fasting plasma glucose,1997,1222.581192,1099.055726,6
Both,All causes,Child and maternal malnutrition,1997,929.8356836,701.1367344,7
Both,All causes,Alcohol use,1997,835.0449021,890.2334383,8
Both,All causes,Occupational risks,1997,738.9658219,657.9045263,9
Both,All causes,Air pollution,1997,725.1566369,421.8820538,10
Both,All causes,Drug use,1997,479.1207172,571.9336293,11
Both,All causes,Impaired kidney function,1997,371.9325613,219.9578065,12
Both,All causes,Low physical activity,1997,356.540366,171.9935665,13
Both,All causes,Other environmental risks,1997,126.3181093,58.6562618,14
Both,All causes,Unsafe sex,1997,109.5205795,76.14671419,15
Both,All causes,Low bone mineral density,1997,90.25281005,100.9625777,16
Both,All causes,Childhood maltreatment,1997,82.08869028,81.52228465,17
Both,All causes,Intimate partner violence,1997,43.56506632,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",1997,8.049528417,6.437282067,19
Both,All causes,Tobacco,1998,3229.444009,1773.63312,1
Both,All causes,High systolic blood pressure,1998,2521.036713,1079.722422,2
Both,All causes,Dietary risks,1998,2453.064424,1338.474071,3
Both,All causes,High body-mass index,1998,1627.033916,1351.826614,4
Both,All causes,High LDL cholesterol,1998,1332.380021,580.3970841,5
Both,All causes,High fasting plasma glucose,1998,1243.007163,1099.055726,6
Both,All causes,Child and maternal malnutrition,1998,905.8498349,701.1367344,7
Both,All causes,Alcohol use,1998,856.0213787,890.2334383,8
Both,All causes,Occupational risks,1998,734.4112664,657.9045263,9
Both,All causes,Air pollution,1998,708.5573864,421.8820538,10
Both,All causes,Drug use,1998,493.7476952,571.9336293,11
Both,All causes,Impaired kidney function,1998,360.5919068,219.9578065,12
Both,All causes,Low physical activity,1998,344.5987306,171.9935665,13
Both,All causes,Other environmental risks,1998,122.9449954,58.6562618,14
Both,All causes,Unsafe sex,1998,96.3328866,76.14671419,15
Both,All causes,Low bone mineral density,1998,90.61200846,100.9625777,16
Both,All causes,Childhood maltreatment,1998,82.33082887,81.52228465,17
Both,All causes,Intimate partner violence,1998,42.58698337,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",1998,7.892440105,6.437282067,19
Both,All causes,Tobacco,1999,3090.788043,1773.63312,1
Both,All causes,High systolic blood pressure,1999,2384.211586,1079.722422,2
Both,All causes,Dietary risks,1999,2347.059966,1338.474071,3
Both,All causes,High body-mass index,1999,1609.928159,1351.826614,4
Both,All causes,High LDL cholesterol,1999,1257.71234,580.3970841,5
Both,All causes,High fasting plasma glucose,1999,1245.058652,1099.055726,6
Both,All causes,Child and maternal malnutrition,1999,909.2650352,701.1367344,7
Both,All causes,Alcohol use,1999,869.7928888,890.2334383,8
Both,All causes,Occupational risks,1999,727.0809912,657.9045263,9
Both,All causes,Air pollution,1999,685.5610298,421.8820538,10
Both,All causes,Drug use,1999,503.7781251,571.9336293,11
Both,All causes,Impaired kidney function,1999,346.1415911,219.9578065,12
Both,All causes,Low physical activity,1999,328.7819074,171.9935665,13
Both,All causes,Other environmental risks,1999,118.1720381,58.6562618,14
Both,All causes,Unsafe sex,1999,93.66100149,76.14671419,15
Both,All causes,Low bone mineral density,1999,91.27568264,100.9625777,16
Both,All causes,Childhood maltreatment,1999,82.62539167,81.52228465,17
Both,All causes,Intimate partner violence,1999,42.11366934,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",1999,7.710487145,6.437282067,19
Both,All causes,Tobacco,2000,2941.075472,1773.63312,1
Both,All causes,High systolic blood pressure,2000,2233.582659,1079.722422,2
Both,All causes,Dietary risks,2000,2225.534694,1338.474071,3
Both,All causes,High body-mass index,2000,1579.614862,1351.826614,4
Both,All causes,High fasting plasma glucose,2000,1218.942615,1099.055726,5
Both,All causes,High LDL cholesterol,2000,1180.932625,580.3970841,6
Both,All causes,Child and maternal malnutrition,2000,892.9970993,701.1367344,7
Both,All causes,Alcohol use,2000,882.0602952,890.2334383,8
Both,All causes,Occupational risks,2000,717.3494084,657.9045263,9
Both,All causes,Air pollution,2000,654.5541428,421.8820538,10
Both,All causes,Drug use,2000,506.6197434,571.9336293,11
Both,All causes,Impaired kidney function,2000,329.5397917,219.9578065,12
Both,All causes,Low physical activity,2000,310.687016,171.9935665,13
Both,All causes,Other environmental risks,2000,112.3304827,58.6562618,14
Both,All causes,Low bone mineral density,2000,91.96200438,100.9625777,15
Both,All causes,Unsafe sex,2000,91.70188355,76.14671419,16
Both,All causes,Childhood maltreatment,2000,83.06315057,81.52228465,17
Both,All causes,Intimate partner violence,2000,42.02466105,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2000,7.392303781,6.437282067,19
Both,All causes,Tobacco,2001,2812.379801,1773.63312,1
