name,year,value,lastvalue
Tobacco,1990,15.60773962,12.88518504
Alcohol use,1990,138.7413578,115.6119232
Drug use,1990,10.44187898,10.05096549
Low bone mineral density,1990,104.2486699,117.0326253
Occupational risks,1990,15.27230427,7.22442783
Intimate partner violence,1990,28.82640268,20.72612435
Child and maternal malnutrition,1990,1092.966768,715.6780858
Tobacco,1990,3152.882766,1420.29808
Alcohol use,1990,221.7895802,440.5191888
Drug use,1990,220.7597631,335.1616829
High fasting plasma glucose,1990,1043.216325,899.4947739
High systolic blood pressure,1990,2474.242663,753.7317619
High body-mass index,1990,1391.480574,1152.92888
Low bone mineral density,1990,104.2486699,117.0326253
Air pollution,1990,549.1326471,313.57582
Other environmental risks,1990,88.32607959,42.78366456
Child and maternal malnutrition,1990,12.17045489,3.707591175
Tobacco,1990,3033.76416,1362.78479
Alcohol use,1990,71.07844439,316.268104
Tobacco,1992,14.78497984,12.88518504
Alcohol use,1992,135.418483,115.6119232
Drug use,1992,10.07892858,10.05096549
Low bone mineral density,1992,102.8612349,117.0326253
Occupational risks,1992,14.06190823,7.22442783
Intimate partner violence,1992,28.86206453,20.72612435
Unsafe sex,1990,183.4204001,86.31603873
High LDL cholesterol,1990,1228.639452,346.8931578
Childhood maltreatment,1990,89.97986062,94.0962599
"Unsafe water, sanitation, and handwashing",1990,8.645679908,6.379863173
Air pollution,1990,606.5430385,342.5510594
Other environmental risks,1990,88.32607959,42.78366456
Impaired kidney function,1992,371.4372229,200.9090824
Unsafe sex,1991,196.0598072,115.6933463
Impaired kidney function,1990,400.0646617,200.9090824
Impaired kidney function,1991,385.2916147,200.9090824
High LDL cholesterol,1991,1177.595125,346.8931578
Childhood maltreatment,1991,90.54161853,94.0962599
Tobacco,1991,15.18224882,12.88518504
Alcohol use,1991,136.9587729,115.6119232
Drug use,1991,10.24803419,10.05096549
Low bone mineral density,1991,103.5155123,117.0326253
Occupational risks,1991,14.75393654,7.22442783
Intimate partner violence,1991,28.91880496,20.72612435
High LDL cholesterol,1992,1125.829829,346.8931578
Childhood maltreatment,1992,91.0231438,94.0962599
Air pollution,1992,521.8589199,313.57582
Other environmental risks,1992,84.72459648,42.78366456
Child and maternal malnutrition,1992,9.703953901,3.707591175
Tobacco,1992,2819.545964,1362.78479
Alcohol use,1992,110.1688355,316.268104
Air pollution,1991,534.482859,313.57582
Other environmental risks,1991,86.47700041,42.78366456
Child and maternal malnutrition,1991,11.12771039,3.707591175
Tobacco,1991,2919.581895,1362.78479
Alcohol use,1991,91.05629428,316.268104
Drug use,1991,212.8868228,323.7887548
High fasting plasma glucose,1991,1024.175444,898.9148906
High systolic blood pressure,1991,2391.896279,753.7317619
High body-mass index,1991,1376.180299,1152.92888
Dietary risks,1991,2089.984342,928.764374
Low physical activity,1990,341.2231427,130.4331995
Occupational risks,1990,370.3018087,450.4636052
Intimate partner violence,1990,60.35704972,56.41643722
Unsafe sex,1992,188.8296076,115.6933463
Drug use,1992,216.8506327,323.7887548
High fasting plasma glucose,1992,1007.60448,898.9148906
High systolic blood pressure,1992,2311.940525,753.7317619
High body-mass index,1992,1364.512648,1152.92888
Dietary risks,1992,2020.86106,928.764374
Unsafe sex,1990,204.2387051,115.6933463
Drug use,1990,209.7930979,323.7887548
High fasting plasma glucose,1990,1042.386996,898.9148906
High systolic blood pressure,1990,2474.242663,753.7317619
High body-mass index,1990,1391.480574,1152.92888
Dietary risks,1990,2168.694801,928.764374
Dietary risks,1991,2089.984342,928.764374
Impaired kidney function,1992,371.4372229,200.9090824
High LDL cholesterol,1992,1125.829829,346.8931578
Childhood maltreatment,1992,91.0231438,94.0962599
Low physical activity,1991,329.2360285,130.4331995
Occupational risks,1991,383.0032708,457.688033
Intimate partner violence,1991,90.22299697,78.95095568
Impaired kidney function,1991,385.2916147,200.9090824
High LDL cholesterol,1991,1177.595125,346.8931578
Childhood maltreatment,1991,90.54161853,94.0962599
Intimate partner violence,1990,89.99152137,78.95095568
Impaired kidney function,1993,366.6190367,200.9090824
High LDL cholesterol,1993,1097.90771,346.8931578
Childhood maltreatment,1993,91.45813021,94.0962599
Air pollution,1994,494.2874918,313.57582
Other environmental risks,1994,80.84063001,42.78366456
Child and maternal malnutrition,1994,8.382587566,3.707591175
Tobacco,1994,2622.967202,1362.78479
Alcohol use,1994,148.8181083,316.268104
Intimate partner violence,1992,90.2437588,78.95095568
Unsafe sex,1994,178.0123364,115.6933463
Dietary risks,1993,1987.674552,928.764374
High LDL cholesterol,1994,1016.308886,346.8931578
Childhood maltreatment,1994,91.78572696,94.0962599
Drug use,1994,225.3888469,323.7887548
High fasting plasma glucose,1994,966.5696974,898.9148906
High systolic blood pressure,1994,2145.515137,753.7317619
High body-mass index,1994,1334.426204,1152.92888
Dietary risks,1994,1876.903349,928.764374
Tobacco,1994,14.13341778,12.88518504
Alcohol use,1994,131.5835446,115.6119232
Drug use,1994,9.582229667,10.05096549
Low bone mineral density,1994,101.9741547,117.0326253
Occupational risks,1994,12.66743869,7.22442783
Intimate partner violence,1994,28.37081942,20.72612435
Impaired kidney function,1994,347.8001455,200.9090824
Tobacco,1993,14.48507756,12.88518504
Alcohol use,1993,134.739156,115.6119232
Drug use,1993,9.997279509,10.05096549
Low bone mineral density,1993,102.7892168,117.0326253
Occupational risks,1993,13.24460582,7.22442783
Intimate partner violence,1993,29.24965042,20.72612435
Impaired kidney function,1993,366.6190367,200.9090824
High LDL cholesterol,1993,1097.90771,346.8931578
Childhood maltreatment,1993,91.45813021,94.0962599
Low physical activity,1993,313.2476243,130.4331995
Occupational risks,1993,382.0585182,457.688033
Intimate partner violence,1993,91.19407158,78.95095568
Childhood maltreatment,1990,89.97986062,94.0962599
