name,year,value,lastvalue
Tobacco,1990,14.71776995,9.421210184
Alcohol use,1990,553.0062832,379.3339308
Drug use,1990,64.65935412,60.51861264
Low bone mineral density,1990,73.25545125,82.7169358
Occupational risks,1990,107.9934963,71.76301757
Child and maternal malnutrition,1990,1035.974244,684.4932126
Tobacco,1990,5970.211779,2166.616137
Alcohol use,1990,1209.570938,1356.986529
Drug use,1990,544.6448862,808.2567567
High fasting plasma glucose,1990,1718.885838,1323.215512
High systolic blood pressure,1990,4627.337854,1425.81813
High body-mass index,1990,2161.32183,1560.387769
Low bone mineral density,1990,73.25545125,82.7169358
Air pollution,1990,1147.294239,470.9214085
Other environmental risks,1990,245.5086838,77.18261982
Child and maternal malnutrition,1990,14.37550632,4.021618224
Tobacco,1990,5757.971423,2081.450921
Alcohol use,1990,596.9142893,940.4730534
Tobacco,1992,13.81085942,9.421210184
Alcohol use,1992,525.0727258,379.3339308
Drug use,1992,65.70268732,60.51861264
Low bone mineral density,1992,72.14305319,82.7169358
Occupational risks,1992,100.5117226,71.76301757
High LDL cholesterol,1990,2836.309282,827.9498482
Childhood maltreatment,1990,67.81854666,69.19312289
"Unsafe water, sanitation, and handwashing",1990,9.560850836,6.516237549
Air pollution,1990,1229.423473,509.4408812
Other environmental risks,1990,245.5086838,77.18261982
Impaired kidney function,1992,519.8332717,241.5616216
Unsafe sex,1991,86.03224978,35.03412621
Impaired kidney function,1990,563.0091833,241.5616216
Impaired kidney function,1991,544.2385976,241.5616216
High LDL cholesterol,1991,2723.771432,827.9498482
Childhood maltreatment,1991,68.89350823,69.19312289
Tobacco,1991,14.28015045,9.421210184
Alcohol use,1991,543.1033944,379.3339308
Drug use,1991,66.07754506,60.51861264
Low bone mineral density,1991,72.74518284,82.7169358
Occupational risks,1991,103.9988905,71.76301757
High LDL cholesterol,1992,2578.092031,827.9498482
Childhood maltreatment,1992,69.77652579,69.19312289
Air pollution,1992,1055.888512,470.9214085
Other environmental risks,1992,229.2296125,77.18261982
Child and maternal malnutrition,1992,11.2191918,4.021618224
Tobacco,1992,5260.856134,2081.450921
Alcohol use,1992,656.024015,940.4730534
Air pollution,1991,1106.082756,470.9214085
Other environmental risks,1991,238.4235096,77.18261982
Child and maternal malnutrition,1991,13.03228198,4.021618224
Tobacco,1991,5529.73223,2081.450921
Alcohol use,1991,630.9929024,940.4730534
Drug use,1991,489.0540447,744.3005951
High fasting plasma glucose,1991,1685.469478,1322.012706
High systolic blood pressure,1991,4481.929279,1425.81813
High body-mass index,1991,2136.819324,1560.387769
Dietary risks,1991,4446.647367,1781.744555
Low physical activity,1990,616.2072065,217.9527211
Occupational risks,1990,1283.405297,805.9575604
Unsafe sex,1992,91.28965666,35.03412621
Drug use,1992,507.1064316,744.3005951
High fasting plasma glucose,1992,1643.135913,1322.012706
High systolic blood pressure,1992,4283.868661,1425.81813
High body-mass index,1992,2094.406098,1560.387769
Dietary risks,1992,4249.911755,1781.744555
Unsafe sex,1990,72.96555917,35.03412621
Drug use,1990,470.5108566,744.3005951
High fasting plasma glucose,1990,1716.776371,1322.012706
High systolic blood pressure,1990,4627.337854,1425.81813
High body-mass index,1990,2161.32183,1560.387769
Dietary risks,1990,4606.720744,1781.744555
Dietary risks,1991,4446.647367,1781.744555
Impaired kidney function,1992,519.8332717,241.5616216
High LDL cholesterol,1992,2578.092031,827.9498482
Childhood maltreatment,1992,69.77652579,69.19312289
Low physical activity,1991,596.2296046,217.9527211
Occupational risks,1991,1358.081485,877.720578
Impaired kidney function,1991,544.2385976,241.5616216
High LDL cholesterol,1991,2723.771432,827.9498482
Childhood maltreatment,1991,68.89350823,69.19312289
Impaired kidney function,1993,516.4401825,241.5616216
High LDL cholesterol,1993,2513.085749,827.9498482
Childhood maltreatment,1993,70.61769654,69.19312289
Air pollution,1994,972.3954328,470.9214085
Other environmental risks,1994,213.9142083,77.18261982
Child and maternal malnutrition,1994,9.469200062,4.021618224
Tobacco,1994,4803.15949,2081.450921
Alcohol use,1994,712.9699562,940.4730534
Unsafe sex,1994,110.6417039,35.03412621
Dietary risks,1993,4174.661527,1781.744555
High LDL cholesterol,1994,2325.329378,827.9498482
Childhood maltreatment,1994,71.18271088,69.19312289
Drug use,1994,553.7790095,744.3005951
High fasting plasma glucose,1994,1587.845493,1322.012706
High systolic blood pressure,1994,3962.203266,1425.81813
High body-mass index,1994,2035.244384,1560.387769
Dietary risks,1994,3923.997743,1781.744555
Tobacco,1994,13.03984126,9.421210184
Alcohol use,1994,508.7099374,379.3339308
Drug use,1994,66.75450912,60.51861264
Low bone mineral density,1994,71.72703038,82.7169358
Occupational risks,1994,93.25864857,71.76301757
Impaired kidney function,1994,490.8576667,241.5616216
Tobacco,1993,13.48092158,9.421210184
Alcohol use,1993,520.8332051,379.3339308
Drug use,1993,67.02629928,60.51861264
Low bone mineral density,1993,72.26229868,82.7169358
Occupational risks,1993,96.08719417,71.76301757
Impaired kidney function,1993,516.4401825,241.5616216
High LDL cholesterol,1993,2513.085749,827.9498482
Childhood maltreatment,1993,70.61769654,69.19312289
Low physical activity,1993,562.7813633,217.9527211
Occupational risks,1993,1300.64179,877.720578
Childhood maltreatment,1990,67.81854666,69.19312289
Impaired kidney function,1990,563.0091833,241.5616216
High LDL cholesterol,1990,2836.309282,827.9498482
Air pollution,1993,1034.466415,470.9214085
Other environmental risks,1993,226.0730724,77.18261982
Child and maternal malnutrition,1993,10.26604889,4.021618224
Tobacco,1993,5117.757334,2081.450921
Alcohol use,1993,687.7147993,940.4730534
Drug use,1993,529.8948918,744.3005951
High fasting plasma glucose,1993,1642.670696,1322.012706
High systolic blood pressure,1993,4213.420064,1425.81813
High body-mass index,1993,2100.551283,1560.387769
Dietary risks,1993,4174.661527,1781.744555
Dietary risks,1992,4249.911755,1781.744555
Low physical activity,1992,571.4058,217.9527211
Occupational risks,1992,1317.495053,877.720578
Dietary risks,1990,4606.720744,1781.744555
Low physical activity,1990,616.2072065,217.9527211
Occupational risks,1990,1391.398794,877.720578
Unsafe sex,1993,99.29218864,35.03412621
Dietary risks,1994,3923.997743,1781.744555
Low physical activity,1994,529.2455532,217.9527211
Occupational risks,1994,1250.655655,877.720578
Impaired kidney function,1994,490.8576667,241.5616216
High LDL cholesterol,1994,2325.329378,827.9498482
Childhood maltreatment,1994,71.18271088,69.19312289
Low physical activity,1992,571.4058,217.9527211
Occupational risks,1992,1216.983331,805.9575604
"Unsafe water, sanitation, and handwashing",1991,9.301582115,6.516237549
Air pollution,1991,1186.772109,509.4408812
Other environmental risks,1991,238.4235096,77.18261982
Child and maternal malnutrition,1991,1001.403951,684.4932126
Tobacco,1991,5737.075109,2166.616137
Alcohol use,1991,1234.636993,1356.986529
Drug use,1991,566.6008159,808.2567567
"Unsafe water, sanitation, and handwashing",1992,8.985412947,6.516237549
Air pollution,1992,1136.174068,509.4408812
Other environmental risks,1992,229.2296125,77.18261982
Low physical activity,1991,596.2296046,217.9527211
Occupational risks,1991,1254.082595,805.9575604
High fasting plasma glucose,1991,1687.472438,1323.215512
High systolic blood pressure,1991,4481.929279,1425.81813
High body-mass index,1991,2136.819324,1560.387769
Low bone mineral density,1991,72.74518284,82.7169358
Impaired kidney function,1995,481.3936799,241.5616216
High LDL cholesterol,1995,2246.818345,827.9498482
Childhood maltreatment,1995,71.56707691,69.19312289
Air pollution,1995,951.0222675,470.9214085
Other environmental risks,1995,208.9037592,77.18261982
Child and maternal malnutrition,1995,8.661669568,4.021618224
Tobacco,1995,4655.209588,2081.450921
Alcohol use,1995,747.6606813,940.4730534
Drug use,1995,584.8312556,744.3005951
High fasting plasma glucose,1995,1580.812553,1322.012706
